technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:00199672;2300148;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Fläche vor Kleingartenanlage;Teterower Ring;-;-;4222;gewidmet;10020622;Kaulsdorf-Nord I;1
00008100:0019964f;2302641;Marzahn-Hellersdorf;Marzahn;Grünanlage;Alfred-Döblin-Straße 33 B im Grünzug;Garten der Begegnungen;2007;-;3724;gewidmet;10010206;Ringkolonnaden;1
00008100:001c64a9;70021;Treptow-Köpenick;Adlershof;Grünanlage;Newtonstraße/ Aerodynamischer Park Ahof GA;-;-;-;5881;gewidmet;9020701;Adlershof West;1
00008100:001c64df;60251;Treptow-Köpenick;Altglienicke;Grünanlage;Schönefelder Chaussee/ Landschaftspark Rudow-Altglienicke Ag NA;Sen;-;-;121256.7;-;9030901;Dorf Altglienicke;1
00008100:00199261;2306741;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Grünanlage am Elsensee;Goldregenstraße;-;-;1114;gewidmet;10040933;Mahlsdorf-Süd;0
00008100:001991dd;270;Marzahn-Hellersdorf;Marzahn;Grünanlage;Kienbergstr. 34 bis 64;am Giebel Kita u. hinter 11-Geschossern;1984;-;9953.5;gewidmet;10010310;Alt-Marzahn;1
00008100:001994ba;702;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Binsengrund,;an der Dramburger Straße;1980;2005;23685.8;gewidmet;10030727;Biesdorf-Süd;1
00008100:001991ba;323;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Walslebener Platz;Biesdorf/ Süd;1996;-;9247;gewidmet;10030727;Biesdorf-Süd;1
00008100:00199425;206;Marzahn-Hellersdorf;Marzahn;Grünanlage;"Dreiecksfläche ""Landsberger Tor""";Blumberger Damm/ Landsberger Allee;1997;-;9585.4;gewidmet;10010205;Marzahn-Ost;1
00008100:001c66fb;60051;Treptow-Köpenick;Altglienicke;Grünanlage;Chorweiler Straße/ Coloniapark Ag GA;-;-;-;57137.8;gewidmet;9030903;Kölner Viertel;1
00008100:001c6706;60281;Treptow-Köpenick;Altglienicke;Grünanlage;Schönefelder Chaussee/ Venusstraße Ag GA;Volkspark;-;-;2417;gewidmet;9030902;Wohngebiet II;0
00008100:00199318;2301354;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Stadtgarten Biesdorf-Süd;Grabensprung/ Minsker Straße;2004;-;17160.4;gewidmet;10030726;Alt-Biesdorf;1
00008100:00199676;2300161;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Schleipfuhl, 161;Jenaer Straße;-;-;40696;gewidmet;10020518;Schleipfuhl;1
00008100:0022dac9;R06-24130;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Grünanlage Landsberger Straße;Landsberger Straße(Göppert);-;-;6891;künftige Widmung;10040932;Alt-Mahlsdorf;0
00008100:00248bbe;R06-24586;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Mahlsdorfer Grünzug;Sudermannstraße;-;-;2307;gewidmet;10040931;Mahlsdorf-Nord;0
00008100:00295653;R01-25507;Marzahn-Hellersdorf;Marzahn;Grünanlage;RHB im Seelgrabenpark/ Westpark;am Hellersdorfer Weg;1999;-;5775.3;-;10010101;Marzahn-West;0
00008100:00199423;179;Marzahn-Hellersdorf;Marzahn;Grünanlage;Grohsteig 23/ Jan-Petersen-Straße;mit Rodelberg  hinter dem Grohsteig;1986;-;6617;gewidmet;10010206;Ringkolonnaden;1
00008100:001c6757;40151;Treptow-Köpenick;Johannisthal;Grünanlage;Sterndamm/ Herweghstraße Jo GA;Goldwassergrundstück;-;-;1515;gewidmet;9010401;Johannisthal West;0
00008100:0022a6c3;100491;Treptow-Köpenick;Köpenick;Grünanlage;Alter Markt 1/ Claus-Dieter-Sprink-Weg Köp GA;-;-;-;1105;gewidmet;9041501;Altstadt-Kietz;0
00008100:00238308;10161;Treptow-Köpenick;Alt-Treptow;Grünanlage;Puschkinallee/ Treptower Park -  Heidegarten AT GA;(eingezäunter Garten);-;-;4009.3;gewidmet;9010102;Am Treptower Park Nord;0
