technischer Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name Planungsraum;anrechenbar Grünflächenversorgung
00008100:0016d422;70870;Pankow;Prenzlauer Berg;Grünanlage;Schneeglöckchenstr. ggü. 13-15;Schneeglöckchenstr. 8 - 16;-;-;3189;gewidmet;3061430;Volkspark Prenzlauer Berg;0
00008100:0016d3eb;70960;Pankow;Prenzlauer Berg;Grünanlage;Agnes-Wabnitz-Str. 10;-;-;-;1478;gewidmet;3061441;Eldenaer Straße;0
00008100:0016d3e9;70961;Pankow;Prenzlauer Berg;Grünanlage;Hausburgpark;Otto-Ostrowski-Str.;2005;-;9994;gewidmet;3061441;Eldenaer Straße;1
00008100:0016d01b;70604;Pankow;Prenzlauer Berg;Grünanlage;Kollwitzstr. 67/ Wörther Str. 34;Schöne Ecke;2002;-;777;gewidmet;3071537;Kollwitzplatz;1
00008100:0016cddd;195;Pankow;Pankow;Grünanlage;Paracelsusplatz;Paracelsus-/ Achtermann-/ Prießnitzstr.;-;-;4866;gewidmet;3040614;Pankow-Zentrum;1
00008100:0016cf34;79221;Pankow;Heinersdorf;Grünanlage;Aidastr./ Tino-Schwierzina-Str.;Schafwaschpfuhlgraben;-;-;10520;künftige Widmung;3030715;Heinersdorf;1
00008100:0016ce14;70113;Pankow;Weißensee;Grünanlage;Amalienstr./ Albertinenstr.;-;-;-;7578;gewidmet;3050920;Weißer See;1
00008100:0016cdf1;795;Pankow;Französisch Buchholz;Grünanlage;Bahnhofstraße bis Königsteinbrücke;Pankewanderweg;-;-;31800;gewidmet;3020307;Buchholz;1
00008100:00146bf3;60118;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Rudolfplatz;-;-;-;4691;gewidmet;2050803;Stralauer Kiez;1
00008100:00146b90;60124;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Wühlischplatz;-;-;-;2943;gewidmet;2050802;Boxhagener Platz;0
00008100:00146bed;60326;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Corinth-/ Persiusstr.;Dreieck;-;-;1644;gewidmet;2050803;Stralauer Kiez;0
00008100:0016cfa0;70612;Pankow;Prenzlauer Berg;Grünanlage;Teutoburger Platz;-;-;-;5584;gewidmet;3071536;Teutoburger Platz;1
00008100:0016cfd7;70611;Pankow;Prenzlauer Berg;Grünanlage;Senefelderplatz;-;-;-;1610;gewidmet;3071537;Kollwitzplatz;0
00008100:0016d418;70880;Pankow;Prenzlauer Berg;Grünanlage;Kollwitzstr. hinter 55 - Judengang;hinter Schönhauser Allee 19;-;-;188;gewidmet;3071537;Kollwitzplatz;0
00008100:0016d0b7;765;Pankow;Blankenfelde;Grünanlage;Am Tegeler Fließ;NSG Niedermoorwiesen;-;-;8629;-;3020203;Blankenfelde;0
00008100:0016d0c4;788;Pankow;Pankow;Grünanlage;Ossietzkystr./ Majakowskiring;-;-;-;2010;gewidmet;3040614;Pankow-Zentrum;1
00008100:0016d409;70917;Pankow;Prenzlauer Berg;Grünanlage;Mollstr.;am Friedhof;-;-;503;gewidmet;3071638;Winsstraße;0
00008100:0016cf36;79241;Pankow;Prenzlauer Berg;Grünanlage;Stargarder Str. 26 und 27;Starplatz;2008;2015;1448;gewidmet;3061332;Helmholtzplatz;0
00008100:0016d118;742;Pankow;Französisch Buchholz;Grünanlage;Grünzug am Siedlungsrand;Rosenthaler Weg/ Blankenfelder Str.;-;-;59156;gewidmet;3020307;Buchholz;1
00008100:0016ce30;70214;Pankow;Karow;Grünanlage;Hofzeichendamm, südlich;Großes Grünband;-;-;17115;gewidmet;3030405;Karow-Nord;1
00008100:0016d082;77857;Pankow;Prenzlauer Berg;Grünanlage;Grünzug von S-Bhf. Greifsw. Str. nach;S-Bhf. Landsberger Allee;-;-;7967;gewidmet;3061435;Conrad-Blenkle-Straße;0
00008100:0016d00d;70602;Pankow;Prenzlauer Berg;Grünanlage;Volkspark Prenzlauer Berg;-;-;-;281534.8;gewidmet;3061430;Volkspark Prenzlauer Berg;1
00008100:0016cdd6;25;Pankow;Pankow;Grünanlage;Kreuzstr./ Wollankstr.;-;-;-;407;gewidmet;3040614;Pankow-Zentrum;0
00008100:0016d378;878;Pankow;Pankow;Grünanlage;Paule-Park;Parkstr. 20 , hinter Rathauscenter;-;-;5464;gewidmet;3040614;Pankow-Zentrum;1
00008100:0016cdde;483;Pankow;Pankow;Grünanlage;Wollank- bis Wilhelm-Kuhr-Str.;Mauergrünzug;-;-;12982;gewidmet;3040614;Pankow-Zentrum;1
00008100:00146bf9;60121;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Traveplatz;-;-;-;6421;gewidmet;2050801;Traveplatz;1
00008100:0016cddc;194;Pankow;Pankow;Grünanlage;Klaustaler Platz;Klaustaler-/Harzburger-/ Harzgeroder Str;1998;-;1816;gewidmet;3040614;Pankow-Zentrum;0
00008100:0016cff6;70507;Pankow;Weißensee;Grünanlage;Park Am Weißen See;-;-;-;110587;gewidmet;3050920;Weißer See;1
00008100:0016d117;730;Pankow;Französisch Buchholz;Grünanlage;Schillingweg;Biotopfläche Krugpfuhl;-;-;9747;gewidmet;3020307;Buchholz;1
00008100:0016d311;70450;Pankow;Prenzlauer Berg;Grünanlage;Heinrich-Roller-Str. 2;ehemaliger Friedhof;-;-;15900;gewidmet;3071638;Winsstraße;1
00008100:0016ceb5;70179;Pankow;Weißensee;Grünanlage;Buschallee 87;Falkenberger Str. 27-30;-;-;5165;gewidmet;3051021;Buschallee;1
00008100:0016cfb6;70505;Pankow;Weißensee;Grünanlage;Kreuzpfuhl;Jürgen Kuczynski-Park;2001;-;14524;gewidmet;3050920;Weißer See;1
00008100:0016d424;70871;Pankow;Prenzlauer Berg;Grünanlage;Schneeglöckchenstr. vor Nr. 8;-;-;-;656;gewidmet;3061430;Volkspark Prenzlauer Berg;0
00008100:0016cf86;70547;Pankow;Prenzlauer Berg;Grünanlage;Arnimplatz;-;-;-;15426;gewidmet;3061126;Arnimplatz;1
00008100:0016d0d5;290;Pankow;Pankow;Grünanlage;Dolomitenstr. / Trienter Str.;-;-;-;2174;gewidmet;3040818;Pankow-Süd;0
00008100:00146d35;62400;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Ede-und-Unku-Weg;Dossestr. 4 / Durchwegung Scharnweberstr;-;-;635;gewidmet;2050801;Traveplatz;0
00008100:00146c5e;47;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Lobeckstr./Alexandrienenstr.;Durchgangweg;-;-;2797;gewidmet;2010103;Moritzplatz;0
00008100:00146e4d;50026;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Landwehrkanal zw. Waterloobr./Baerwaldbr;Promenade am Sommerbad/Pappelweg;-;-;4233;gewidmet;2010104;Wassertorplatz;1
00008100:0016ce28;381;Pankow;Karow;Grünanlage;westl. Bucher Chaussee, Pfannschmidtstr.;Wasserschutzgebiet;-;-;119580;gewidmet;3030405;Karow-Nord;1
00008100:0016ce1a;70107;Pankow;Stadtrandsiedlung Malchow;Grünanlage;Am Graben;Nachtalbenweg;-;-;23146;gewidmet;3030716;Märchenland;1
00008100:0016cfff;70501;Pankow;Weißensee;Grünanlage;Park am Faulen See;Naturschutzgebiet;-;-;249964;gewidmet;3051017;Rennbahnstraße;1
00008100:0016cdc0;233;Pankow;Niederschönhausen;Grünanlage;Dietzgenstr. 101/ Schönhauser Str.;Nordenddreieck;-;-;5608;gewidmet;3020209;Niederschönhausen;0
00008100:0016d0f4;687;Pankow;Blankenfelde;Grünanlage;Zingergrabenniederung I;südliche Feldmark Blankenfelde;-;-;104448;-;3020203;Blankenfelde;1
00008100:0016d371;70838;Pankow;Prenzlauer Berg;Grünanlage;Anton-Saefkow-Park;-;-;-;65855;gewidmet;3061434;Anton-Saefkow-Park;1
00008100:0016cfda;70584;Pankow;Prenzlauer Berg;Grünanlage;Helmholtzplatz;-;2001;2015;9559;gewidmet;3061332;Helmholtzplatz;1
00008100:0016d322;70891;Pankow;Prenzlauer Berg;Grünanlage;Am Friedrichshain 16-18;Durchgang am Filmtheater;-;-;388;gewidmet;3071639;Bötzowstraße;0
00008100:0016d10b;738;Pankow;Niederschönhausen;Grünanlage;Fritz-Reuter-Str. 29-30;Kreuzgrabengrünzug;2017;-;1775;gewidmet;3020210;Herthaplatz;0
00008100:00146c76;8;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Besselpark;-;1997;-;12284;gewidmet;2010102;Mehringplatz;1
00008100:00146bc3;60328;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Friedenstraße 83;Pufendorfstr.;-;-;2480;gewidmet;2040502;Friedenstraße;1
00008100:00146d64;60982;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Friedenstraße 29;-;-;-;834;gewidmet;2040502;Friedenstraße;0
00008100:00146bf8;60318;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Platz d. Vereinten Nationen 3-12;vor 3-12;-;-;11258;gewidmet;2040502;Friedenstraße;0
00008100:0016ce87;70178;Pankow;Weißensee;Grünanlage;Falkenberger Str.5-26/Buschallee 93A-96A;-;-;-;6130;gewidmet;3051021;Buschallee;1
00008100:0016cdb9;221;Pankow;Niederschönhausen;Grünanlage;Herthaplatz;Buchholzer Straße;-;-;2354;gewidmet;3020210;Herthaplatz;0
00008100:0016d151;70819;Pankow;Prenzlauer Berg;Grünanlage;Pappelallee 16/17;ehemaliger Friedhof;1995;-;4869;gewidmet;3061332;Helmholtzplatz;1
00008100:0024386d;661;Pankow;Blankenfelde;Grünanlage;Botanischer Volkspark I;Historische Achse und Arboretum;-;-;26821;gewidmet;3020203;Blankenfelde;1
00008100:0016cdd5;29;Pankow;Pankow;Grünanlage;Bleichröderpark;hinter Breite Str. 34;-;-;10623;gewidmet;3040614;Pankow-Zentrum;1
00008100:0016cf84;70550;Pankow;Prenzlauer Berg;Grünanlage;Falkplatz;-;-;-;38387;gewidmet;3061131;Falkplatz;1
00008100:0016cec8;70184;Pankow;Weißensee;Grünanlage;Wittlicher Str./ Bernkasteler Str. 18;ehemaliger Friedhof;-;-;10205;gewidmet;3051021;Buschallee;1
00008100:0016cea8;70151;Pankow;Weißensee;Grünanlage;Hansastr.;Orankestrand;-;-;5770;gewidmet;3051022;Hansastraße;1
00008100:00146cf6;61641;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Bethanien Hof SonderN;Freiluftkino;-;-;3784;gewidmet;2030301;Oranienplatz;1
00008100:00146e4a;50037;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Mariannenplatz;-;-;-;27689;gewidmet;2030301;Oranienplatz;1
00008100:00146e36;50059;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Paul-Lincke-Ufer;zw. Ratiborstr. und Mariannenstr.;-;-;14904;gewidmet;2030401;Reichenberger Straße;1
00008100:0016d411;70894;Pankow;Prenzlauer Berg;Grünanlage;Mendelssohnstr.;-;-;-;5406;gewidmet;3071638;Winsstraße;1
00008100:0016d013;70599;Pankow;Prenzlauer Berg;Grünanlage;Bornholmer Str. bis Esplanade;Mauergrünzug;-;-;13901;gewidmet;3061126;Arnimplatz;1
00008100:0016d429;70859;Pankow;Prenzlauer Berg;Grünanlage;Syringenweg 23-24;Gehölzfläche am Ambulatorium;-;-;2582;gewidmet;3061430;Volkspark Prenzlauer Berg;0
00008100:0016d427;70862;Pankow;Prenzlauer Berg;Grünanlage;Landsberger Allee/ Storkower Str.;bis S-Bahnhof;-;-;2234;gewidmet;3061430;Volkspark Prenzlauer Berg;0
00008100:0016d243;70851;Pankow;Prenzlauer Berg;Grünanlage;Gürtelstr. östlich Nr. 25;Michelangelostr. 101 - 107;-;-;1050;gewidmet;3061429;Greifswalder Straße;0
00008100:0016ce0c;70115;Pankow;Stadtrandsiedlung Malchow;Grünanlage;Bitburger Teiche;Darßer Straße / Bitburger Straße;-;-;10335;gewidmet;3030716;Märchenland;1
00008100:0016cec5;70134;Pankow;Stadtrandsiedlung Malchow;Grünanlage;Märchenlandpark;Märchenweg, Am Graben;-;-;143529;gewidmet;3030716;Märchenland;1
00008100:0016cf4c;821;Pankow;Französisch Buchholz;Grünanlage;Schützenstr. ggü. Nr. 39;-;-;-;1045;gewidmet;3020307;Buchholz;0
00008100:00243870;662;Pankow;Blankenfelde;Grünanlage;Botanischer Volkspark III;Ackerflächen;-;-;54035;gewidmet;3020203;Blankenfelde;1
00008100:00243990;184;Pankow;Niederschönhausen;Grünanlage;Bürgerpark Niederschönhausen;Cottastraße;-;-;41811;gewidmet;3040513;Schönholz;1
00008100:00146e3a;50054;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Lohmühleninsel, WSA;Böschung Flutgraben;-;-;2513;gewidmet;2030402;Wrangelkiez;1
00008100:00146e57;50013;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Anhalter Bahnhof;-;-;-;15052;gewidmet;2010101;Askanischer Platz;1
00008100:00146d53;62421;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Gleisdreieck, Ostpark;-;-;-;123477;gewidmet;2020201;Gleisdreieck/Entwicklungsgebiet;1
00008100:0016cf8c;70593;Pankow;Prenzlauer Berg;Grünanlage;Lehderstr./ Mandelstr.;-;-;2019;2277;gewidmet;3061228;Erich-Weinert-Straße;0
00008100:0016d305;78287;Pankow;Weißensee;Grünanlage;"""Sonnenschein"" - Randgrün";-;-;-;197;-;3051022;Hansastraße;0
00008100:00263bcf;694;Pankow;Französisch Buchholz;Grünanlage;Am Brendegraben;-;-;-;10922;gewidmet;3010104;Lietzengraben;0
00008100:0016d123;802;Pankow;Französisch Buchholz;Grünanlage;Schweizer Tal - Grünzug;-;-;-;3532;gewidmet;3020307;Buchholz;0
00008100:0016cfe1;70530;Pankow;Stadtrandsiedlung Malchow;Grünanlage;nordwestl. Malchower Chaussee;-;-;-;15711;gewidmet;3030716;Märchenland;1
00008100:0016ceda;78502;Pankow;Blankenburg;Grünanlage;Parkstr. naturnahe Parkanlage;Krugstege neben Kinderheim;-;-;16759;gewidmet;3030711;Blankenburg;0
00008100:0016cfdd;70571;Pankow;Prenzlauer Berg;Grünanlage;Ahlbecker Str. 6;-;-;-;313;gewidmet;3061332;Helmholtzplatz;0
00008100:0029540d;696;Pankow;Blankenfelde;Grünanlage;Zingergrabenniederung III;Hundeübungsplatz;-;-;12800;-;3020203;Blankenfelde;1
00008100:0016cdab;456;Pankow;Buch;Grünanlage;Karower Str.;Eingang Hufelandkrankenhaus;-;-;1986;gewidmet;3010102;Buch;0
00008100:0016cdb6;277;Pankow;Buch;Grünanlage;Schlosspark Buch;-;-;-;135088;gewidmet;3010101;Bucher Forst;1
00008100:0016ce04;822;Pankow;Buch;Grünanlage;Pölnitzweg ggü. 5 -11;-;-;-;8747;-;3010102;Buch;1
00008100:0016cdb2;451;Pankow;Buch;Grünanlage;An der Panke Spielberg;-;-;-;16005;gewidmet;3010102;Buch;1
00008100:0016cf3e;886;Pankow;Buch;Grünanlage;Karower Chaussee/ Friedrich-Richter-Str.;ehemalige Brunnenschutzzone 2;-;-;5391;gewidmet;3010102;Buch;0
00008100:00146b99;60141;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Georgenkirchstr. 4-5;-;-;2002;989;gewidmet;2040501;Barnimkiez;0
00008100:00146bd4;60336;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Alt-Stralau 32A;Wendenwiese, Tunnelstr. 1-4;-;-;9694;gewidmet;2050804;Stralauer Halbinsel;1
00008100:00146e51;50024;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Gitschiner Str. 2-6;am Pumpwerk;-;-;4517;gewidmet;2010104;Wassertorplatz;1
00008100:0016cf20;747;Pankow;Buch;Grünanlage;Straße 7;verlängerte Str. 7/südl. der Panke;-;-;1348;künftige Widmung;3010102;Buch;0
00008100:0016cf47;70200;Pankow;Karow;Grünanlage;Siedlungsring zw.  8 und 9;Grünzug Siedlungsring;-;-;9012;gewidmet;3030405;Karow-Nord;1
00008100:0016d127;783;Pankow;Blankenfelde;Grünanlage;Idehorst Landschaftspark;-;-;-;36505;gewidmet;3020203;Blankenfelde;1
00008100:0016cf0e;79801;Pankow;Prenzlauer Berg;Grünanlage;Hanns-Eisler-Str. neben 6;-;-;-;1083;gewidmet;3061429;Greifswalder Straße;1
00008100:0016cdda;324;Pankow;Pankow;Grünanlage;Amalienpark;-;-;-;2870;gewidmet;3040614;Pankow-Zentrum;0
00008100:0016cf15;892;Pankow;Blankenfelde;Grünanlage;Idehorst NSG;-;-;-;18554;-;3020203;Blankenfelde;1
00008100:0016ce4f;70202;Pankow;Karow;Grünanlage;Straße 64;-;-;-;645;gewidmet;3030406;Alt-Karow;1
00008100:0016cdec;70121;Pankow;Stadtrandsiedlung Malchow;Grünanlage;Neue Wiesen;-;-;-;290163;gewidmet;3030716;Märchenland;1
00008100:0016d426;70863;Pankow;Prenzlauer Berg;Grünanlage;Storkower Str. 99/ Kniprodestr.;-;-;-;9445;gewidmet;3061430;Volkspark Prenzlauer Berg;1
00008100:0016cdf8;193;Pankow;Niederschönhausen;Grünanlage;Dechertstr. 20/ Karower Str.23;-;-;-;1022;gewidmet;3040614;Pankow-Zentrum;0
00008100:0016cde8;70130;Pankow;Blankenburg;Grünanlage;Ziegelstr. 60 und 62;-;-;-;2530;gewidmet;3030711;Blankenburg;0
00008100:002186ec;62508;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Friedenstraße 83, Pacht;Umweltforum Außenanl.;-;-;2897;gewidmet;2040502;Friedenstraße;1
00008100:00250257;50090;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Viktoriapark, Rosengarten;Rosenbeete, Stauden und angr. Wege;-;-;2664;gewidmet;2020203;Viktoriapark;1
00008100:0016d235;904;Pankow;Französisch Buchholz;Grünanlage;Schönerlinder Str. östl. I;zw. A 114 und Straße 180;-;-;14674;-;3020307;Buchholz;0
00008100:0016cfba;70534;Pankow;Stadtrandsiedlung Malchow;Grünanlage;Malchower Aue;-;-;-;126137;gewidmet;3030716;Märchenland;1
00008100:0016d0df;683;Pankow;Französisch Buchholz;Grünanlage;Bucher Str. Großer Stein;Naturdenkmal ;-;-;4419;gewidmet;3010104;Lietzengraben;0
00008100:0016d0ae;699;Pankow;Niederschönhausen;Grünanlage;Dietzgenstr. bis Waldowstr.;Kreuzgrabengrünzug;-;-;2058;gewidmet;3020210;Herthaplatz;1
00008100:0016d0fb;660;Pankow;Blankenfelde;Grünanlage;Botanischer Volkspark II;-;-;-;242270;gewidmet;3020203;Blankenfelde;1
00008100:0016cdf2;70122;Pankow;Heinersdorf;Grünanlage;Platz A Heinersdorf;-;-;-;4625;gewidmet;3030715;Heinersdorf;1
00008100:0016d318;911;Pankow;Rosenthal;Grünanlage;Kastanienallee hinter 26-29;-;-;-;63;-;3020209;Niederschönhausen;0
00008100:000a3168;7;Charlottenburg-Wilmersdorf;Wilmersdorf;Grünanlage;Gerhart-Hauptmann-Park;-;-;-;8212;gewidmet;4051448;Schaperstraße;1
00008100:000a3148;12;Charlottenburg-Wilmersdorf;Wilmersdorf;Grünanlage;Prager Platz - Grünanlage;Platzmitte;-;-;1990;gewidmet;4051653;Prager Platz;0
00008100:0016cf16;79681;Pankow;Prenzlauer Berg;Grünanlage;"""Neues Heim"" - Randgrün";-;-;-;60;-;3061430;Volkspark Prenzlauer Berg;-
00008100:0016cdcb;114;Pankow;Pankow;Grünanlage;Karlstadter Platz;Gemündener-/ Karlstadter Str./ Zeiler Weg;-;-;3051;gewidmet;3040818;Pankow-Süd;0
00008100:0016cf1e;79506;Pankow;Prenzlauer Berg;Grünanlage;"""Grönland"" - Randgrün";-;-;-;230;-;3061430;Volkspark Prenzlauer Berg;0
00008100:0016cec7;70189;Pankow;Weißensee;Grünanlage;Gounodstr. neben 78, ggü. 71;-;-;-;1408;gewidmet;3050925;Komponistenviertel Weißensee;0
00008100:0016cefc;485;Pankow;Pankow;Grünanlage;Pestalozzistr. 9 - 11;-;2007;-;2643;gewidmet;3040614;Pankow-Zentrum;1
00008100:0016d317;70564;Pankow;Blankenburg;Grünanlage;östl. Heinersdorfer Str.;Pappelreihe;-;-;6941;gewidmet;3030711;Blankenburg;1
00008100:0016ce32;70150;Pankow;Karow;Grünanlage;Schräger Weg ggü. 44;Liebenstr.;-;-;5789;gewidmet;3030406;Alt-Karow;1
00008100:0016ceeb;739;Pankow;Rosenthal;Grünanlage;"KGA ""Rosenthal Nord"" I";Quickborner Straße 14;-;-;255;-;3040508;Rosenthal;0
00008100:0016cfcf;70567;Pankow;Prenzlauer Berg;Grünanlage;Prenzl. Allee/ Erich-Weinert-Str. 91;Am Springbrunnen;-;-;1443;gewidmet;3061228;Erich-Weinert-Straße;0
00008100:0016d0ef;727;Pankow;Niederschönhausen;Grünanlage;Klemkestr. bis Schützenstr.;Mauergrünzug;-;-;17020;gewidmet;3040513;Schönholz;1
00008100:0016cdf6;771;Pankow;Blankenfelde;Grünanlage;Mönchmühler Straße III;westlich;-;-;8174;-;3020203;Blankenfelde;1
00008100:0016cde9;70133;Pankow;Weißensee;Grünanlage;Buschallee/ Orankestrand;-;-;-;9149;gewidmet;3051022;Hansastraße;1
00008100:0016d2df;73;Pankow;Buch;Grünanlage;Eupener Str. verlängert;NSG Mittelbruch;-;-;4229;-;3010101;Bucher Forst;0
00008100:000a316a;4;Charlottenburg-Wilmersdorf;Wilmersdorf;Grünanlage;Preußenpark;-;1905;-;49243;gewidmet;4051446;Preußenpark;1
00008100:000a30f7;47;Charlottenburg-Wilmersdorf;Grunewald;Grünanlage;Bismarckplatz - Grünanlage;-;-;-;2095;gewidmet;4041134;Bismarckallee;0
00008100:0016cdd3;19;Pankow;Pankow;Grünanlage;Breite Str. 40/ Berliner Str. 1;Tröpfelbrunnen;-;-;649;gewidmet;3040614;Pankow-Zentrum;0
00008100:0016d42a;70868;Pankow;Prenzlauer Berg;Grünanlage;Am Weingarten 16;Weinanbau;-;-;2555;-;3061430;Volkspark Prenzlauer Berg;0
00008100:0016d423;70864;Pankow;Prenzlauer Berg;Grünanlage;Schneeglöckchenstr. neben 15;-;-;-;516;gewidmet;3061430;Volkspark Prenzlauer Berg;0
00008100:0016cf89;70590;Pankow;Prenzlauer Berg;Grünanlage;Hanns-Eisler-Str. 2-4;-;-;-;4677;gewidmet;3061429;Greifswalder Straße;1
00008100:0016d290;70697;Pankow;Stadtrandsiedlung Malchow;Grünanlage;Blankenburger Pflasterweg nördlich;am Golfplatz;-;-;210652;gewidmet;3030716;Märchenland;1
00008100:0016ce9c;70156;Pankow;Weißensee;Grünanlage;Gartenstr. 6, Hansastr. 151;südl. Else-Jahn-Str., westl Hansastr.;1994;-;31610;gewidmet;3051022;Hansastraße;1
00008100:000a313b;1133;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;Grünanlage;Siemensdamm-Popitzweg - Grünanlage;Verbindungsweg;-;-;1139;gewidmet;4010101;Jungfernheide;0
00008100:000a3020;186;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Branitzer Platz - Grünanlage;-;-;-;7850;gewidmet;4020312;Branitzer Platz;1
00008100:000a327f;800;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Rominter Allee - Grünanlage Bahnseite;Grünfläche Bahnseite;-;-;17333;gewidmet;4020205;Siedlung Ruhleben;1
00008100:000a308d;62;Charlottenburg-Wilmersdorf;Grunewald;Grünanlage;Hubertussee - Delbrückstr.;Uferanlage - Bismarck- bis Hubertusallee;-;-;10589;gewidmet;4041134;Bismarckallee;1
00008100:000a30ce;113;Charlottenburg-Wilmersdorf;Grunewald;Grünanlage;Koenigsallee27/Wissmannstr.8- GA;Grünanlage Koenigssee;-;-;5285;gewidmet;4041134;Bismarckallee;1
00008100:0022aae8;00158.2;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Lietzenseepark / Nord - Kl. Kaskade;-;-;-;2249;gewidmet;4030724;Lietzensee;1
00008100:0022ae86;00013.3;Charlottenburg-Wilmersdorf;Wilmersdorf;Grünanlage;Volkspark Wilmersdorf - Staudengarten;-;-;1987;4528;gewidmet;4051655;Babelsberger Straße;1
00008100:0016ceff;80081;Pankow;Prenzlauer Berg;Grünanlage;Thomas-Mann-Str. hinter 2-12;-;-;-;2500;gewidmet;3061429;Greifswalder Straße;1
00008100:0016d404;70914;Pankow;Prenzlauer Berg;Grünanlage;Kniprodestr./ Werneuchener Wiese;-;-;-;20114;gewidmet;3071639;Bötzowstraße;1
00008100:0016cf00;80101;Pankow;Prenzlauer Berg;Grünanlage;Zur Marktflagge 10;-;2007;-;6389;gewidmet;3061441;Eldenaer Straße;1
00008100:0016cdb4;412;Pankow;Französisch Buchholz;Grünanlage;Parkstr. 7-15/ Elfenallee;Park Buchholz;-;-;4684;gewidmet;3020307;Buchholz;1
00008100:0016cdd1;169;Pankow;Niederschönhausen;Grünanlage;Schlosspark Schönhausen;-;-;-;158238;gewidmet;3040614;Pankow-Zentrum;1
00008100:0016cf1d;79505;Pankow;Prenzlauer Berg;Grünanlage;"""Am Volkspark PB"" - Randgrün";-;-;-;128;-;3061430;Volkspark Prenzlauer Berg;0
00008100:0016ce1c;70104;Pankow;Weißensee;Grünanlage;Antonplatz - Grünanlage;Berliner Allee 26-34, Bizetstraße 21-23;-;2008;2874;gewidmet;3050925;Komponistenviertel Weißensee;0
00008100:0016cdfc;70100;Pankow;Blankenburg;Grünanlage;Parkanlage am Ilsenburggraben;-;2007;-;27577;gewidmet;3030711;Blankenburg;1
00008100:0016d41f;70873;Pankow;Prenzlauer Berg;Grünanlage;Syringenweg 19;Gehölzflächen ggü.;-;-;439;gewidmet;3061430;Volkspark Prenzlauer Berg;1
00008100:0016d421;70872;Pankow;Prenzlauer Berg;Grünanlage;Syringenweg ggü. 7;Randgrün Spielplatz;-;-;392;gewidmet;3061430;Volkspark Prenzlauer Berg;0
00008100:0016d31d;910;Pankow;Pankow;Grünanlage;Brehmestr. 28;Mauergrünzug;-;-;382;gewidmet;3040614;Pankow-Zentrum;0
00008100:000a301c;191;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Raußendorffplatz / Westteil - Grünanlage;-;-;-;1299;gewidmet;4020311;Reichsstraße;0
00008100:000a305f;172;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Kranzallee - Grünanlage;Grünanlage zw. Lyckallee u. Heerstr.;-;-;7693;gewidmet;4020208;Kranzallee;1
00008100:000a3301;1054;Charlottenburg-Wilmersdorf;Wilmersdorf;Grünanlage;Pfalzburger Str. 35-38 - Grünanlage;-;-;-;1097;gewidmet;4051550;Leon-Jessel-Platz;0
00008100:0024fe2c;00128.2;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Murellenweg - Baumannsche Wiese;Am U-Bhf Ruhleben;-;-;32433;gewidmet;4020205;Siedlung Ruhleben;1
00008100:000a300c;00144.2;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Lietzenseepark / Süd - Gr. Kaskade;Dernburgplatz;1824;1922;2876;gewidmet;4030724;Lietzensee;1
00008100:000a3331;1214;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Dovestr. 1D - Grünanlage;Uferpromenade;2001;-;2244;gewidmet;4030621;Spreestadt;1
00008100:0016d3e1;77800;Pankow;Prenzlauer Berg;Grünanlage;Zum langen Jammer;-;2004;-;6697;gewidmet;3061441;Eldenaer Straße;1
