,PLR,PLR_NAME,PLZ
123,4030725,Amtsgerichtsplatz,"['10627', '10711', '14057']"
124,4030726,Droysenstraße,"['10627', '10629', '10707', '10709', '10711']"
125,4030827,Karl-August-Platz,"['10625', '10627', '10629']"
126,4030828,Savignyplatz,"['10623', '10625', '10629']"
127,4030929,Hindemithplatz,"['10625', '10627', '10629', '10707']"
128,4030930,George-Grosz-Platz,"['10623', '10629', '10707', '10719']"
129,4030931,Breitscheidplatz,"['10623', '10719', '10787', '10789']"
130,4031032,Halensee,"['10629', '10707', '10709', '10711', '14055', '14193']"
131,4041134,Bismarckallee,"['10711', '14055', '14193']"
132,4041135,Hundekehle,"['14055', '14193', '14195', '14199']"
133,4041137,Flinsberger Platz,"['10709', '10711', '10713', '14193', '14199']"
134,4041133,Güterbahnhof Grunewald,"['10711', '14055', '14193']"
135,4041136,Hagenplatz,"['14193', '14199']"
136,4041238,Kissinger Straße,['14199']
137,4041239,Stadion Wilmersdorf,"['10713', '14197', '14199']"
138,4041240,Messelpark,"['14195', '14199']"
139,4041241,Breite Straße,"['14195', '14197', '14199']"
140,4041342,Schlangenbader Straße,"['14195', '14197', '14199']"
141,4041343,Binger Straße,"['14195', '14197', '14199']"
142,4041344,Rüdesheimer Platz,"['10715', '12161', '12163', '14195', '14197']"
143,4051445,Eisenzahnstraße,"['10707', '10709', '10711', '10713', '14193', '14199']"
144,4051446,Preußenpark,"['10707', '10709', '10713', '10719']"
145,4051447,Ludwigkirchplatz,"['10707', '10713', '10717', '10719']"
146,4030518,Tegeler Weg,['10589']
147,4030519,Kaiserin-Augusta-Allee,"['10553', '10587', '10589', '13627']"
148,4030620,Alt-Lietzow,"['10585', '10587', '10625']"
149,4030621,Spreestadt,"['10553', '10555', '10587', '10623']"
150,4030622,Richard-Wagner-Straße,"['10585', '10587', '10625', '10627']"
151,4030623,Ernst-Reuter-Platz,"['10585', '10587', '10623', '10625', '10719']"
152,4030724,Lietzensee,"['10711', '14055', '14057']"
153,4051551,Brabanter Platz,"['10713', '10715', '14197', '14199']"
154,4051652,Nikolsburger Platz,"['10715', '10717']"
155,4051653,Prager Platz,"['10715', '10717', '10779', '10825']"
156,4051654,Wilhelmsaue,"['10713', '10715']"
157,5010204,Griesingerstraße,['13589']
158,5010205,An der Tränke,['13591']
159,5010206,Gütersloher Weg,"['13583', '13589', '13591']"
160,5010207,Darbystraße,"['13583', '13589']"
161,5010208,Germersheimer Platz,"['13583', '13585', '13589']"
162,5010209,An der Kappe,"['13581', '13583', '13589', '13591']"
163,5010310,Eckschanze,"['13583', '13585']"
164,5010311,Eiswerder,"['13505', '13585', '13587', '13599']"
165,4051448,Schaperstraße,"['10717', '10719', '10777', '10779', '10789']"
166,4051549,Rathaus Wilmersdorf,"['10707', '10713', '10715', '14199']"
167,4051550,Leon-Jessel-Platz,"['10707', '10713', '10715', '10717', '10719']"
168,4051655,Babelsberger Straße,"['10715', '10779', '10825', '12159', '12161']"
169,4051656,Hildegardstraße,"['10713', '10715', '12161', '14197']"
170,5010102,Goltzstraße,['13587']
171,5010103,Amorbacher Weg,"['13583', '13585', '13587', '13589']"
172,5010312,Kurstraße,"['13585', '13597', '13599']"
173,5010313,Ackerstraße,"['13583', '13585']"
