,PLR,PLR_NAME,PLZ
426,11040926,Weitlingstraße,"['10315', '10317', '10319']"
427,11041022,Rosenfelder Ring,"['10315', '10317', '10365', '12681']"
428,11041023,Gensinger Straße,"['10315', '10319', '12681', '12683']"
429,11041027,Tierpark,"['10315', '10318', '10319', '12683']"
430,11041128,Sewanstraße,"['10315', '10317', '10318', '10319']"
431,11051229,Rummelsburg,"['10245', '10317', '10318', '10319', '12435', '12437', '12459']"
432,11051330,Karlshorst West,"['10317', '10318', '10319']"
433,12214125,Waldidyll/Flughafensee,"['13403', '13405', '13507', '13509', '13599', '13627', '13629']"
434,12214528,Tegeler Forst,"['13465', '13467', '13503', '13505', '13507', '13587', '13599']"
435,12231101,Hermsdorf,"['13465', '13467', '13469', '13503', '13509']"
436,12301206,Lübars,"['13158', '13159', '13435', '13439', '13467', '13469']"
437,9041301,Kietzer Feld/Nachtheide,"['12527', '12555', '12557', '12559', '12589']"
438,11051331,Karlshorst Nord,"['10318', '12459', '12555', '12683']"
439,11051332,Karlshorst Süd,"['10317', '10318', '12459']"
440,12103115,Breitkopfbecken,"['13407', '13409']"
441,12103116,Hausotterplatz,"['13156', '13158', '13187', '13359', '13407', '13409']"
442,12103117,Letteplatz,"['13349', '13359', '13407', '13409']"
443,12103218,Teichstraße,"['13158', '13403', '13405', '13407', '13409', '13437']"
444,12103219,Schäfersee,"['13349', '13403', '13405', '13407', '13409']"
445,12103220,Humboldtstraße,"['13403', '13407', '13437']"
446,12214126,Tegel Süd,['13507']
447,12214421,Reinickes Hof,"['13403', '13407', '13437']"
