FID,gml_id,spatial_na,spatial_al,spatial_ty,PLRNAME,BZRNAME,PGRNAME,BEZNAME,DATUM,SHAPE_Length,SHAPE_Area
81,re_planungsraum.03040512,03040512,Wilhelmsruh,Polygon,Wilhelmsruh,Schönholz/Wilhelmsruh/Rosenthal,Südliches Pankow,Pankow,2008-04-09T00:00:00,13328.5619966296,5867022.70743927
82,re_planungsraum.03040513,03040513,Schönholz,Polygon,Schönholz,Schönholz/Wilhelmsruh/Rosenthal,Südliches Pankow,Pankow,2008-04-09T00:00:00,12839.7920339278,5163127.14783429
83,re_planungsraum.03040614,03040614,Pankow Zentrum,Polygon,Pankow Zentrum,Pankow Zentrum,Südliches Pankow,Pankow,2008-04-09T00:00:00,19051.2595383324,10651132.9387032
84,re_planungsraum.03040818,03040818,Pankow Süd,Polygon,Pankow Süd,Pankow Süd,Südliches Pankow,Pankow,2008-04-09T00:00:00,16878.6252982201,8188904.98218076
85,re_planungsraum.03050919,03050919,Gustav-Adolf-Straße,Polygon,Gustav-Adolf-Straße,Weißensee,Südliches Weißensee,Pankow,2006-06-14T00:00:00,7061.73813324969,2680186.76720256
86,re_planungsraum.03050920,03050920,Weißer See,Polygon,Weißer See,Weißensee,Südliches Weißensee,Pankow,2006-06-14T00:00:00,6887.12532077693,2847692.45324493
87,re_planungsraum.03050923,03050923,Weißenseer Spitze,Polygon,Weißenseer Spitze,Weißensee,Südliches Weißensee,Pankow,2006-06-14T00:00:00,5461.48801226981,1687311.83676315
88,re_planungsraum.03050924,03050924,Behaimstraße,Polygon,Behaimstraße,Weißensee,Südliches Weißensee,Pankow,2006-06-14T00:00:00,4942.5150365272,1185663.5563957
89,re_planungsraum.03050925,03050925,Komponistenviertel Weißensee,Polygon,Komponistenviertel Weißensee,Weißensee,Südliches Weißensee,Pankow,2006-06-14T00:00:00,7851.8636018352,3023171.12618472
90,re_planungsraum.03051017,03051017,Rennbahnstraße,Polygon,Rennbahnstraße,Weißensee Ost,Südliches Weißensee,Pankow,2006-06-14T00:00:00,15575.6122444009,6600929.62231506
91,re_planungsraum.03051021,03051021,Buschallee,Polygon,Buschallee,Weißensee Ost,Südliches Weißensee,Pankow,2006-06-14T00:00:00,5913.81975813119,1552910.62547646
