,PLZ,PLR
129,13086,"[3030715, 3030716, 3040818, 3050919, 3050920, 3050923, 3050924, 3051017, 3061228]"
130,13088,"[3030711, 3030715, 3030716, 3050919, 3050920, 3050924, 3050925, 3051017, 3051021, 3051022, 3061429, 11010101, 11010309, 11020411, 11020513]"
131,13089,"[3030711, 3030715, 3030716, 3040818, 3050919]"
132,13125,"[3030406, 3030711, 3030716, 3030405, 3010101, 3010102, 3010104]"
133,13127,"[3020210, 3030711, 3040614, 3040818, 3010101, 3010104, 3020307, 3020203]"
134,13129,"[3030406, 3030711, 3030715, 3030716, 3040614, 3010104, 3020307, 11010101]"
135,13156,"[3020210, 3040512, 3040513, 3040614, 3020209, 12103116]"
136,13158,"[3020210, 3040508, 3040512, 3040513, 3020209, 3020307, 3020203, 12302109, 12302110, 12301206, 12103116, 12103218]"
137,13159,"[3020210, 3040508, 3010104, 3020307, 3020203, 12301206]"
138,13187,"[1033101, 3040513, 3040614, 3040818, 3061126, 3020209, 12103116]"
139,13189,"[3030711, 3030715, 3040614, 3040818, 3050923, 3061126]"
140,13347,"[1033203, 1044101, 1044102, 1044103, 1044201, 1044202, 1011401, 1044203]"
141,13349,"[1044101, 1044102, 1044203, 12214424, 12103117, 12103219]"
142,13351,"[1044101, 1022103, 4010102]"
143,13353,"[1011301, 1033203, 1044101, 1044103, 1044201, 1044202, 1044203, 1022103, 1022202, 4010102]"
144,13355,"[1033201, 1033202, 1033203, 1011401, 3061131]"
145,13357,"[1033102, 1033201, 1033202, 1033203, 1044201, 3061126, 3061131]"
146,13359,"[1033101, 1033102, 1044102, 1044201, 1044203, 3040513, 3040614, 3061126, 12103116, 12103117]"
147,13403,"[12214422, 12214423, 12214424, 12301203, 12304313, 12214125, 12103218, 12103219, 12103220, 12214421]"
148,13405,"[1044101, 1044102, 12214422, 12214424, 12214125, 12103218, 12103219]"
149,13407,"[1044102, 3040512, 3040513, 12301203, 12103115, 12103116, 12103117, 12103218, 12103219, 12103220, 12214421]"
150,13409,"[1033101, 1044102, 3040513, 12103115, 12103116, 12103117, 12103218, 12103219]"
151,13435,"[12301203, 12301204, 12302107, 12302211, 12302108, 12302109, 12302110, 12302212, 12301206]"
152,13437,"[3040512, 12301203, 12301204, 12301205, 12302211, 12304314, 12302110, 12302212, 12304313, 12103218, 12103220, 12214421]"
153,13439,"[3040508, 12301203, 12302107, 12302108, 12302109, 12302110, 12301206]"
154,13465,"[12231102, 12214528, 12231101]"
155,13467,"[12231102, 12301205, 12304314, 12214528, 12231101, 12301206]"
156,13469,"[3020203, 12301204, 12301205, 12302211, 12304314, 12302108, 12302212, 12231101, 12301206]"
157,13503,"[12214527, 12224230, 12231102, 12304314, 12214528, 12231101]"
158,13505,"[5010311, 5030730, 5010101, 12214527, 12224229, 12224230, 12214528]"
159,13507,"[12214527, 12304314, 12304313, 12214125, 12214528, 12214126]"
160,13509,"[12214422, 12214527, 12301203, 12301204, 12301205, 12304314, 12304313, 12214125, 12231101]"
161,13581,"[5010209, 5010314, 5020417, 5020523, 5020625, 5020626, 5020627, 5020418, 5020419]"
162,13583,"[5010206, 5010207, 5010208, 5010209, 5010310, 5010103, 5010313, 5010314]"
163,13585,"[5010208, 5010310, 5010311, 5010103, 5010312, 5010313, 5010314, 5030730, 5010101]"
164,13587,"[5010311, 5010102, 5010103, 5030730, 5010101, 12224229, 12214528]"
165,13589,"[5010204, 5010206, 5010207, 5010208, 5010209, 5010103, 5010101]"
166,13591,"[5010205, 5010206, 5010209, 5020415, 5020416, 5020417, 5020523, 5020418, 5020419, 5020420, 5020521, 5020522]"
167,13593,"[5020523, 5020524, 5020626, 5020628, 5040934, 5020522]"
168,13595,"[4020208, 4020206, 5020524, 5020625, 5020626, 5020627, 5020628, 5020629, 5040934]"
169,13597,"[4020310, 4020204, 4020205, 5010312, 5010314, 5010339, 5020625, 5020626, 5020627, 5020629, 5030730, 5030833]"
170,13599,"[5010311, 5010312, 5010314, 5010339, 5030730, 5030731, 5030832, 5030833, 12214125, 12214528]"
171,13627,"[1044101, 1022103, 4020310, 4010101, 4010102, 4010103, 4030415, 4030519, 5030832, 5030833, 12214125]"
172,13629,"[4020310, 4010101, 4010102, 5030731, 5030832, 5030833, 12214125]"
173,14050,"[4020310, 4020311, 4020312, 4020313, 5010339, 5030833]"
174,14052,"[4020207, 4020208, 4020209, 4020310, 4020311, 4020312, 4020314, 4020204, 4020205, 5010339]"
175,14053,"[4020207, 4020204, 4020205]"
176,14055,"[4020207, 4020208, 4020209, 4020311, 4020313, 4020314, 4020204, 4020206, 4031032, 4041134, 4041135, 4041133, 4030724, 5020627, 5020629, 4061757]"
177,14057,"[4020311, 4020313, 4020314, 4030417, 4030725, 4030724]"
178,14059,"[4020310, 4020313, 4010101, 4030415, 4030416, 4030417]"
